,Brand ,Model ,Price 
1002,Jackson,Soloist SL2 FMT Natural USA,3.590 €
1003,Solar Guitars,A2.6 FRW,769 €
1004,Fender,60 Strat ABBM Relic LTD,4.099 €
1005,Ibanez,RG5170G-SVF,2.099 €
1006,Ibanez,AT100CL-SB,2.256 €
1007,Fender,57 Strat DNB NOS,3.490 €
1008,Xotic Guitars,XSC-1 MN Vintage White,3.279 €
1009,Fender,64 Strat AAZG Heavy Relic,4.398 €
1010,Ibanez,RG1127PBFX-CIF Premium B-Stock,1.199 €
1011,Fender,Robin Trower Tribute Strat,4.411 €
1012,Fender,57 Strat Surf Green AAA Relic,4.000 €
1013,Fender,65 Strat Hardtail AFMG Relic,3.998 €
1014,Fender,68 Strat 3TS RW Relic,3.798 €
1015,LSL,Saticoy Roasted Pine 3TSB Ltd,3.398 €
1016,PRS,Custom 22 Piezo FW,4.401 €
1017,Fender,61 Strat ACS Sparkle Relic,4.512 €
1018,Fender,Squier Bullet Strat HT B-Stock,165 €
1019,Fender,60s Strat HSH LPB Heavy Relic,3.998 €
1020,Ibanez,JCRG2001-UND,7.189 €
1021,Jackson,Dinky DK1 Black USA,2.949 €
1022,Xotic Guitars,XSC PRO-2 Lake Placid Blue,2.975 €
1023,Fender,63 Strat FMT HSS AVB Relic,4.399 €
1024,Jackson,Soloist SL2Q Trans Blue USA,4.399 €
1025,Framus,Masterbuilt Diablo II Supreme,4.925 €
1026,Fender,56 Strat 2TS Relic,3.798 €
1027,Fender,56 Strat LPB Relic,3.590 €
1028,Ibanez,MSM100-FGB,2.499 €
1029,PRS,Custom 24 35th Anni 10 Top TR,4.998 €
1030,LSL,Saticoy One EFoam Green Aged,2.549 €
1031,Fender,American Custom Strat SBT RW,3.798 €
1032,Dean Guitars,Custom Zone FP B-Stock,199 €
1033,Fender,63 Strat HSS BLK Relic MBPW,7.598 €
1034,Jackson,Dinky HH FR Snow White B-Stock,2.222 €
1035,Ibanez,JBM10FX-PWM,922 €
1036,Jackson,Soloist SL2 Blackened USA,4.399 €
1037,BC Rich,Shredzilla Extreme Exo B-Stock,1.249 €
1038,PRS,Custom 22 Piezo CB,4.401 €
1039,Fender,58 Strat Special SFSGM Relic,4.298 €
1040,PRS,408 Trem FW,3.898 €
1041,Jackson,PC-1 Phil Collen LTD BLK USA,5.099 €
1042,Fender,Uptown Strat SWT,2.099 €
1043,LSL,Saticoy CV Special VW,3.077 €
1044,Ibanez,JCRG2001-SAL,7.189 €
1045,PRS,Custom 22 Piezo BW,4.499 €
1046,Legator,N6OD-AP,1.129 €
1047,Fender,57 Strat SFG NOS,3.490 €
1048,Knaggs,Severn T1 Trem Forest Green,5.129 €
1049,PRS,Custom 22 DCS,3.998 €
1050,Framus,Teambuilt Diablo II Progressiv,2.280 €
1051,Schecter,Banshee 6 FR Extreme O B-Stock,509 €
1052,LSL,Saticoy One 2 Tone Burst Aged,2.549 €
1053,Friedman,CALI-AMCGHH+,2.998 €
1054,Fender,50s Strat ASFG Sparkle Relic,3.698 €
1055,Jackson,SL1 Soloist SWH,3.390 €
1056,PRS,Custom 24 DS,3.898 €
1057,Fender,60 Strat AAZ Relic,4.198 €
1058,Ibanez,JCRG2002-SLH J. Custom,7.189 €
1059,PRS,Custom 24 35th Anniv. MT,4.298 €
1060,PRS,Custom 24 35th Anniv. TG,4.298 €
1061,Ibanez,JCRG2002-GNM J. Custom,7.189 €
1062,Suhr,Classic S ST SSS RW 3TS,2.909 €
1063,Xotic Guitars,XSC-1 SFG MN Medium Aged,3.179 €
1064,Jackson,Misha Mansoor HT6 Red,3.077 €
1065,Jackson,Misha Mansoor HT7 Silver,3.077 €
1066,Sterling by Music Man,John Petrucci MAJ100X  B-Stock,1.089 €
1067,Jackson,Misha Mansoor HT6 Silver,3.029 €
1068,Maybach,Stradovari S61 Black W Guard A,1.929 €
1069,Jackson,JS22 Dinky BLK AH B-Stock,189 €
1070,Fender,American Custom Strat 3TSB RW,3.898 €
1071,Xotic Guitars,XSC-2 DR RW Medium Aged,3.389 €
1072,PRS,Custom 22 MS,3.999 €
1073,Xotic Guitars,XSC-1 LPB MN Heavy Aged,3.179 €
1074,Knaggs,Severn X Green Sparkle Trem HH,4.299 €
1075,Legator,Ninja N6X Earth,1.644 €
1076,BC Rich,Shredzilla Prophecy ET BLK,1.438 €
1077,Schecter,Damien Platinum 6 FR SBK,925 €
1078,PRS,Custom 24/08 TG,3.999 €
1079,Fender,55 Strat Surf Green Hvy MBKM,6.659 €
1080,Friedman,Vintage-S-AR3TBBWBH+SS-LA,3.489 €
1081,Xotic Guitars,XSC-1 SB RW Medium Aged,3.077 €
1082,Fender,69 Strat FMT Orange Burst MBGF,7.798 €
1083,Solar Guitars,A1.6Vinter Pearl White Matte,1.333 €
1084,Knaggs,Severn X Trembuck T1 Charcoal,3.898 €
1085,Xotic Guitars,XSC-1 FR MN Medium Aged,3.049 €
1086,Xotic Guitars,XSC PRO-2 3 Tone Sunburst,2.975 €
1087,Harley Benton,Fusion-II HH FR EB FBLB Bundle,364 €
1088,Chapman Guitars,ML1 RS Lunar Rob Scall B-Stock,979 €
1089,Chapman Guitars,ML1 Pro Modern Zima Bl B-Stock,999 €
1090,Fender,63 Ultra Relic Strat 3TSB MBPW,6.998 €
1091,PRS,Custom 22 MS,3.999 €
1092,Music Man,Cutlass SSS Trem ABC B-Stock,2.299 €
1093,LSL,Saticoy 3TSB Medium Aged,3.281 €
1094,ESP,LTD SN-1000HT Purple B B-Stock,1.089 €
1095,Chapman Guitars,ML1 Pro Hybrid Phoenix B-Stock,999 €
1096,Sterling by Music Man,John Petrucci JP150DFM B-Stock,1.549 €
1097,PRS,Custom 24/08 TG,3.999 €
1098,Xotic Guitars,Xotique XSC Green Sparkle,3.898 €
1099,Fender,56 Strat IS Heavy Relic,3.998 €
