,Brand ,Model ,Price 
57,Marcus Miller,V7 Vintage Alder AWH 2nd Gen,575 €
58,Fender,Player Series Jazz Bass PF PWT,738 €
59,Harley Benton,HBZ-2004 Deluxe Series,266 €
60,Marcus Miller,V7 Alder-4 AWH 2nd Gen,519 €
61,Fender,Am Pro II Jazz Bass RW MERC,1.846 €
62,Harley Benton,JB-75 SB Vintage Series,169 €
63,Marcus Miller,V7 Vintage Swamp Ash-4 NT 2,759 €
64,Marcus Miller,V9 Swamp Ash 4 TBK 2nd Gen,864 €
65,Fender,60 J-Bass LTD NOS OW,3.999 €
66,Marcus Miller,V7 Vintage Alder TS 2nd Gen,575 €
67,Fender,Vintera 70s Jazz Bass 3-SB,999 €
68,Harley Benton,JB-75MN SB Vintage Seri Bundle,265 €
69,Fender,Squier Affinity Jazz ILR Set 1,235 €
70,Marcus Miller,V5 Alder-4 TS,459 €
71,Cort,GB34 JJ BK,249 €
72,Fender,Squier Paranormal J-Bass 54 BB,419 €
73,Marcus Miller,V7 Swamp Ash-4 SG 2nd Gen,679 €
74,Marcus Miller,V5 Alder-4 NT,459 €
75,Fender,Vintera 70s Jazz Bass IS,1.025 €
76,Marcus Miller,V7 Swamp Ash-4 LPB 2nd Gen,679 €
77,Fender,SQ Cont. Active J-Bass FWH,385 €
78,Fender,AM Original 70 J-Bass MN VW,2.169 €
79,Fender,Am Pro II Jazz Bass RW BK,1.846 €
80,Cort,GB34 JJ 3TS,276 €
81,Fender,60th Ann Road W 60 J-Bass OWT,1.435 €
82,Lakland,Skyline Darryl Jones 4 MN NT,1.199 €
83,Sandberg,California II TM4 RW BKB,1.499 €
84,Sandberg,Electra TT4 RW CR,789 €
85,G&L,Tribute JB Bass 3TS,528 €
86,Sandberg,Electra TT4 RW TB,769 €
87,Sandberg,California II TM4 Nighthawk,1.699 €
88,Fender,AM Original 60 J-Bass 3TSB,1.784 €
89,Sandberg,California II TM4 BLB,1.699 €
90,Fender,Vintera 60s Jazz Bass FG,944 €
91,Fender,Am Pro II Jazz Bass MN 3TS,1.846 €
92,G&L,JB-2 Tribute NT,449 €
93,Sandberg,California II TM4 Nighthawk CM,1.899 €
94,Sandberg,California II TM4 Nighthawk IS,1.899 €
95,Fender,AM Perf Jazz Bass RW AWT,1.222 €
96,Fender,Am Pro II Jazz Bass RW MBL,1.846 €
97,G&L,JB-2 3-TS Tribute,499 €
98,Harley Benton,Enhanced MJ-4EB Creme,319 €
99,Fender,Player Series Jazz Bass PF BLK,717 €
